WKT,longitude,latitude,AVS,Unique_ID,nam,laa,adm_code,Loc ID,DEM
"POLYGON ((139.866666666656 35.9583333333329,139.874999999989 35.9583333333329,139.874999999989 35.9666666666663,139.866666666656 35.9666666666663,139.866666666656 35.9583333333329))",139.870833333322,35.9624999999996,231,101841,Chiba Ken,Noda Shi,12208,1398708359625,28
"POLYGON ((139.858333333323 35.9583333333329,139.866666666656 35.9583333333329,139.866666666656 35.9666666666663,139.858333333323 35.9666666666663,139.858333333323 35.9583333333329))",139.862499999989,35.9624999999996,230,101842,Chiba Ken,Noda Shi,12208,1398625359625,12
"POLYGON ((139.916666666656 35.9583333333329,139.924999999989 35.9583333333329,139.924999999989 35.9666666666663,139.916666666656 35.9666666666663,139.916666666656 35.9583333333329))",139.920833333322,35.9624999999996,147,101843,Chiba Ken,Noda Shi,12208,1399208359625,14
"POLYGON ((139.908333333323 35.9583333333329,139.916666666656 35.9583333333329,139.916666666656 35.9666666666663,139.908333333323 35.9666666666663,139.908333333323 35.9583333333329))",139.91249999999,35.9624999999996,147,101844,Chiba Ken,Noda Shi,12208,1399125359625,7
"POLYGON ((139.899999999989 35.9583333333329,139.908333333323 35.9583333333329,139.908333333323 35.9666666666663,139.899999999989 35.9666666666663,139.899999999989 35.9583333333329))",139.904166666656,35.9624999999996,276,101845,Chiba Ken,Noda Shi,12208,1399042359625,17
"POLYGON ((139.891666666656 35.9583333333329,139.899999999989 35.9583333333329,139.899999999989 35.9666666666663,139.891666666656 35.9666666666663,139.891666666656 35.9583333333329))",139.895833333323,35.9624999999996,147,101846,Chiba Ken,Noda Shi,12208,1398958359625,20
"POLYGON ((139.924999999989 35.9583333333329,139.933333333323 35.9583333333329,139.933333333323 35.9666666666663,139.924999999989 35.9666666666663,139.924999999989 35.9583333333329))",139.929166666656,35.9624999999996,147,101850,Chiba Ken,Noda Shi,12208,1399292359625,10
"POLYGON ((139.833333333323 35.9666666666663,139.841666666656 35.9666666666663,139.841666666656 35.9749999999996,139.833333333323 35.9749999999996,139.833333333323 35.9666666666663))",139.83749999999,35.9708333333329,228,102330,Chiba Ken,Noda Shi,12208,1398375359708,14
"POLYGON ((139.824999999989 35.9666666666663,139.833333333323 35.9666666666663,139.833333333323 35.9749999999996,139.824999999989 35.9749999999996,139.824999999989 35.9666666666663))",139.829166666656,35.970833333333,230,102331,Saitama Ken,Kasukabe Shi,11214,1398292359708,4
"POLYGON ((139.866666666656 35.9666666666663,139.874999999989 35.9666666666663,139.874999999989 35.9749999999996,139.866666666656 35.9749999999996,139.866666666656 35.9666666666663))",139.870833333322,35.9708333333329,147,102334,Chiba Ken,Noda Shi,12208,1398708359708,16
"POLYGON ((139.858333333323 35.9666666666663,139.866666666656 35.9666666666663,139.866666666656 35.9749999999996,139.858333333323 35.9749999999996,139.858333333323 35.9666666666663))",139.86249999999,35.9708333333329,194,102335,Chiba Ken,Noda Shi,12208,1398625359708,14
"POLYGON ((139.849999999989 35.9666666666663,139.858333333323 35.9666666666663,139.858333333323 35.9749999999996,139.849999999989 35.9749999999996,139.849999999989 35.9666666666663))",139.854166666656,35.970833333333,224,102336,Chiba Ken,Noda Shi,12208,1398542359708,14
"POLYGON ((139.841666666656 35.9666666666663,139.849999999989 35.9666666666663,139.849999999989 35.9749999999996,139.841666666656 35.9749999999996,139.841666666656 35.9666666666663))",139.845833333323,35.9708333333329,224,102337,Chiba Ken,Noda Shi,12208,1398458359708,12
"POLYGON ((139.899999999989 35.9666666666663,139.908333333323 35.9666666666663,139.908333333323 35.9749999999996,139.899999999989 35.9749999999996,139.899999999989 35.9666666666663))",139.904166666656,35.9708333333329,194,102338,Chiba Ken,Noda Shi,12208,1399042359708,10
"POLYGON ((139.891666666656 35.9666666666663,139.899999999989 35.9666666666663,139.899999999989 35.9749999999996,139.891666666656 35.9749999999996,139.891666666656 35.9666666666663))",139.895833333323,35.9708333333329,194,102339,Chiba Ken,Noda Shi,12208,1398958359708,16
"POLYGON ((139.883333333323 35.9666666666663,139.891666666656 35.9666666666663,139.891666666656 35.9749999999996,139.883333333323 35.9749999999996,139.883333333323 35.9666666666663))",139.88749999999,35.9708333333329,247,102340,Chiba Ken,Noda Shi,12208,1398875359708,9
"POLYGON ((139.874999999989 35.9666666666663,139.883333333323 35.9666666666663,139.883333333323 35.9749999999996,139.874999999989 35.9749999999996,139.874999999989 35.9666666666663))",139.879166666656,35.970833333333,148,102341,Chiba Ken,Noda Shi,12208,1398792359708,18
"POLYGON ((139.916666666656 35.9666666666663,139.924999999989 35.9666666666663,139.924999999989 35.9749999999996,139.916666666656 35.9749999999996,139.916666666656 35.9666666666663))",139.920833333323,35.9708333333329,148,102344,Ibaraki Ken,Bando Shi,8228,1399208359708,11
"POLYGON ((139.908333333323 35.9666666666663,139.916666666656 35.9666666666663,139.916666666656 35.9749999999996,139.908333333323 35.9749999999996,139.908333333323 35.9666666666663))",139.91249999999,35.9708333333329,148,102345,Chiba Ken,Noda Shi,12208,1399125359708,7
"POLYGON ((139.849999999989 35.9749999999996,139.858333333323 35.9749999999996,139.858333333323 35.9833333333329,139.849999999989 35.9833333333329,139.849999999989 35.9749999999996))",139.854166666656,35.9791666666663,226,102840,Chiba Ken,Noda Shi,12208,1398542359792,18
"POLYGON ((139.841666666656 35.9749999999996,139.849999999989 35.9749999999996,139.849999999989 35.9833333333329,139.841666666656 35.9833333333329,139.841666666656 35.9749999999996))",139.845833333323,35.9791666666663,226,102841,Chiba Ken,Noda Shi,12208,1398458359792,15
"POLYGON ((139.833333333323 35.9749999999996,139.841666666656 35.9749999999996,139.841666666656 35.9833333333329,139.833333333323 35.9833333333329,139.833333333323 35.9749999999996))",139.83749999999,35.9791666666663,221,102842,Chiba Ken,Noda Shi,12208,1398375359792,17
"POLYGON ((139.824999999989 35.9749999999996,139.833333333323 35.9749999999996,139.833333333323 35.9833333333329,139.824999999989 35.9833333333329,139.824999999989 35.9749999999996))",139.829166666656,35.9791666666663,235,102843,Chiba Ken,Noda Shi,12208,1398292359792,17
"POLYGON ((139.883333333323 35.9749999999996,139.891666666656 35.9749999999996,139.891666666656 35.9833333333329,139.883333333323 35.9833333333329,139.883333333323 35.9749999999996))",139.88749999999,35.9791666666663,148,102844,Chiba Ken,Noda Shi,12208,1398875359792,9
"POLYGON ((139.874999999989 35.9749999999996,139.883333333323 35.9749999999996,139.883333333323 35.9833333333329,139.874999999989 35.9833333333329,139.874999999989 35.9749999999996))",139.879166666656,35.9791666666663,226,102845,Chiba Ken,Noda Shi,12208,1398792359792,6
"POLYGON ((139.866666666656 35.9749999999996,139.874999999989 35.9749999999996,139.874999999989 35.9833333333329,139.866666666656 35.9833333333329,139.866666666656 35.9749999999996))",139.870833333322,35.9791666666663,148,102846,Chiba Ken,Noda Shi,12208,1398708359792,13
"POLYGON ((139.858333333323 35.9749999999996,139.866666666656 35.9749999999996,139.866666666656 35.9833333333329,139.858333333323 35.9833333333329,139.858333333323 35.9749999999996))",139.862499999989,35.9791666666663,149,102847,Chiba Ken,Noda Shi,12208,1398625359792,19
"POLYGON ((139.891666666656 35.9749999999996,139.899999999989 35.9749999999996,139.899999999989 35.9833333333329,139.891666666656 35.9833333333329,139.891666666656 35.9749999999996))",139.895833333322,35.9791666666663,148,102851,Chiba Ken,Noda Shi,12208,1398958359792,5
"POLYGON ((139.824999999989 35.9833333333329,139.833333333323 35.9833333333329,139.833333333323 35.9916666666663,139.824999999989 35.9916666666663,139.824999999989 35.9833333333329))",139.829166666656,35.9874999999996,217,103589,Chiba Ken,Noda Shi,12208,1398292359875,15
"POLYGON ((139.858333333323 35.9833333333329,139.866666666656 35.9833333333329,139.866666666656 35.9916666666663,139.858333333323 35.9916666666663,139.858333333323 35.9833333333329))",139.862499999989,35.9874999999996,149,103593,Chiba Ken,Noda Shi,12208,1398625359875,15
"POLYGON ((139.849999999989 35.9833333333329,139.858333333323 35.9833333333329,139.858333333323 35.9916666666663,139.849999999989 35.9916666666663,139.849999999989 35.9833333333329))",139.854166666656,35.9874999999996,151,103594,Chiba Ken,Noda Shi,12208,1398542359875,20
"POLYGON ((139.841666666656 35.9833333333329,139.849999999989 35.9833333333329,139.849999999989 35.9916666666663,139.841666666656 35.9916666666663,139.841666666656 35.9833333333329))",139.845833333323,35.9874999999996,226,103595,Chiba Ken,Noda Shi,12208,1398458359875,15
"POLYGON ((139.833333333323 35.9833333333329,139.841666666656 35.9833333333329,139.841666666656 35.9916666666663,139.833333333323 35.9916666666663,139.833333333323 35.9833333333329))",139.83749999999,35.9874999999996,220,103596,Chiba Ken,Noda Shi,12208,1398375359875,16
"POLYGON ((139.874999999989 35.9833333333329,139.883333333323 35.9833333333329,139.883333333323 35.9916666666663,139.874999999989 35.9916666666663,139.874999999989 35.9833333333329))",139.879166666656,35.9874999999996,235,103599,Chiba Ken,Noda Shi,12208,1398792359875,7
"POLYGON ((139.866666666656 35.9833333333329,139.874999999989 35.9833333333329,139.874999999989 35.9916666666663,139.866666666656 35.9916666666663,139.866666666656 35.9833333333329))",139.870833333322,35.9874999999996,194,103600,Chiba Ken,Noda Shi,12208,1398708359875,10
"POLYGON ((139.841666666656 35.9916666666663,139.849999999989 35.9916666666663,139.849999999989 35.9999999999996,139.841666666656 35.9999999999996,139.841666666656 35.9916666666663))",139.845833333323,35.9958333333329,149,104120,Chiba Ken,Noda Shi,12208,1398458359958,28
"POLYGON ((139.833333333323 35.9916666666663,139.841666666656 35.9916666666663,139.841666666656 35.9999999999996,139.833333333323 35.9999999999996,139.833333333323 35.9916666666663))",139.83749999999,35.9958333333329,218,104121,Chiba Ken,Noda Shi,12208,1398375359958,20
"POLYGON ((139.824999999989 35.9916666666663,139.833333333323 35.9916666666663,139.833333333323 35.9999999999996,139.824999999989 35.9999999999996,139.824999999989 35.9916666666663))",139.829166666656,35.995833333333,219,104122,Chiba Ken,Noda Shi,12208,1398292359958,12
"POLYGON ((139.816666666656 35.9916666666663,139.824999999989 35.9916666666663,139.824999999989 35.9999999999996,139.816666666656 35.9999999999996,139.816666666656 35.9916666666663))",139.820833333322,35.9958333333329,219,104123,Chiba Ken,Noda Shi,12208,1398208359958,15
"POLYGON ((139.874999999989 35.9916666666663,139.883333333323 35.9916666666663,139.883333333323 35.9999999999996,139.874999999989 35.9999999999996,139.874999999989 35.9916666666663))",139.879166666656,35.995833333333,232,104124,Chiba Ken,Noda Shi,12208,1398792359958,10
"POLYGON ((139.866666666656 35.9916666666663,139.874999999989 35.9916666666663,139.874999999989 35.9999999999996,139.866666666656 35.9999999999996,139.866666666656 35.9916666666663))",139.870833333322,35.9958333333329,221,104125,Chiba Ken,Noda Shi,12208,1398708359958,7
"POLYGON ((139.858333333323 35.9916666666663,139.866666666656 35.9916666666663,139.866666666656 35.9999999999996,139.858333333323 35.9999999999996,139.858333333323 35.9916666666663))",139.86249999999,35.9958333333329,149,104126,Chiba Ken,Noda Shi,12208,1398625359958,20
"POLYGON ((139.849999999989 35.9916666666663,139.858333333323 35.9916666666663,139.858333333323 35.9999999999996,139.849999999989 35.9999999999996,139.849999999989 35.9916666666663))",139.854166666656,35.995833333333,150,104127,Chiba Ken,Noda Shi,12208,1398542359958,21
"POLYGON ((139.799999999989 36.0749999999996,139.808333333323 36.0749999999996,139.808333333323 36.0833333333329,139.799999999989 36.0833333333329,139.799999999989 36.0749999999996))",139.804166666656,36.0791666666663,224,104698,Chiba Ken,Noda Shi,12208,1398042360792,13
"POLYGON ((139.791666666656 36.0749999999996,139.799999999989 36.0749999999996,139.799999999989 36.0833333333329,139.791666666656 36.0833333333329,139.791666666656 36.0749999999996))",139.795833333322,36.0791666666663,211,104699,Chiba Ken,Noda Shi,12208,1397958360792,4
"POLYGON ((139.783333333323 36.0749999999996,139.791666666656 36.0749999999996,139.791666666656 36.0833333333329,139.783333333323 36.0833333333329,139.783333333323 36.0749999999996))",139.787499999989,36.0791666666663,200,104700,Chiba Ken,Noda Shi,12208,1397875360792,10
"POLYGON ((139.791666666656 36.0833333333329,139.799999999989 36.0833333333329,139.799999999989 36.0916666666663,139.791666666656 36.0916666666663,139.791666666656 36.0833333333329))",139.795833333323,36.0874999999996,226,105225,Chiba Ken,Noda Shi,12208,1397958360875,10
"POLYGON ((139.783333333323 36.0833333333329,139.791666666656 36.0833333333329,139.791666666656 36.0916666666663,139.783333333323 36.0916666666663,139.783333333323 36.0833333333329))",139.78749999999,36.0874999999996,208,105226,Chiba Ken,Noda Shi,12208,1397875360875,13
"POLYGON ((139.774999999989 36.0833333333329,139.783333333323 36.0833333333329,139.783333333323 36.0916666666663,139.774999999989 36.0916666666663,139.774999999989 36.0833333333329))",139.779166666656,36.0874999999996,201,105227,Chiba Ken,Noda Shi,12208,1397792360875,12
"POLYGON ((139.774999999989 36.0916666666663,139.783333333323 36.0916666666663,139.783333333323 36.0999999999996,139.774999999989 36.0999999999996,139.774999999989 36.0916666666663))",139.779166666656,36.0958333333329,180,105766,Chiba Ken,Noda Shi,12208,1397792360958,14
"POLYGON ((139.791666666656 36.0916666666663,139.799999999989 36.0916666666663,139.799999999989 36.0999999999996,139.791666666656 36.0999999999996,139.791666666656 36.0916666666663))",139.795833333322,36.0958333333329,220,105772,Chiba Ken,Noda Shi,12208,1397958360958,14
"POLYGON ((139.783333333323 36.0916666666663,139.791666666656 36.0916666666663,139.791666666656 36.0999999999996,139.783333333323 36.0999999999996,139.783333333323 36.0916666666663))",139.787499999989,36.0958333333329,218,105773,Chiba Ken,Noda Shi,12208,1397875360958,9
"POLYGON ((139.833333333323 36.0333333333329,139.841666666656 36.0333333333329,139.841666666656 36.0416666666663,139.833333333323 36.0416666666663,139.833333333323 36.0333333333329))",139.83749999999,36.0374999999996,182,106827,Chiba Ken,Noda Shi,12208,1398375360375,14
"POLYGON ((139.824999999989 36.0333333333329,139.833333333323 36.0333333333329,139.833333333323 36.0416666666663,139.824999999989 36.0416666666663,139.824999999989 36.0333333333329))",139.829166666656,36.0374999999996,244,106828,Chiba Ken,Noda Shi,12208,1398292360375,13
"POLYGON ((139.816666666656 36.0333333333329,139.824999999989 36.0333333333329,139.824999999989 36.0416666666663,139.816666666656 36.0416666666663,139.816666666656 36.0333333333329))",139.820833333322,36.0374999999996,184,106829,Chiba Ken,Noda Shi,12208,1398208360375,15
"POLYGON ((139.808333333323 36.0416666666663,139.816666666656 36.0416666666663,139.816666666656 36.0499999999996,139.808333333323 36.0499999999996,139.808333333323 36.0416666666663))",139.81249999999,36.045833333333,199,107377,Chiba Ken,Noda Shi,12208,1398125360458,13
"POLYGON ((139.799999999989 36.0416666666663,139.808333333323 36.0416666666663,139.808333333323 36.0499999999996,139.799999999989 36.0499999999996,139.799999999989 36.0416666666663))",139.804166666656,36.045833333333,199,107378,Chiba Ken,Noda Shi,12208,1398042360458,10
"POLYGON ((139.824999999989 36.0416666666663,139.833333333323 36.0416666666663,139.833333333323 36.0499999999996,139.824999999989 36.0499999999996,139.824999999989 36.0416666666663))",139.829166666656,36.045833333333,185,107383,Chiba Ken,Noda Shi,12208,1398292360458,12
"POLYGON ((139.816666666656 36.0416666666663,139.824999999989 36.0416666666663,139.824999999989 36.0499999999996,139.816666666656 36.0499999999996,139.816666666656 36.0416666666663))",139.820833333322,36.045833333333,232,107384,Chiba Ken,Noda Shi,12208,1398208360458,10
"POLYGON ((139.799999999989 36.0499999999996,139.808333333323 36.0499999999996,139.808333333323 36.0583333333329,139.799999999989 36.0583333333329,139.799999999989 36.0499999999996))",139.804166666656,36.0541666666662,205,107934,Chiba Ken,Noda Shi,12208,1398042360542,13
"POLYGON ((139.816666666656 36.0499999999996,139.824999999989 36.0499999999996,139.824999999989 36.0583333333329,139.816666666656 36.0583333333329,139.816666666656 36.0499999999996))",139.820833333322,36.0541666666662,183,107940,Chiba Ken,Noda Shi,12208,1398208360542,16
"POLYGON ((139.808333333323 36.0499999999996,139.816666666656 36.0499999999996,139.816666666656 36.0583333333329,139.808333333323 36.0583333333329,139.808333333323 36.0499999999996))",139.81249999999,36.0541666666662,184,107941,Chiba Ken,Noda Shi,12208,1398125360542,10
"POLYGON ((139.791666666656 36.0583333333329,139.799999999989 36.0583333333329,139.799999999989 36.0666666666663,139.791666666656 36.0666666666663,139.791666666656 36.0583333333329))",139.795833333322,36.0624999999996,179,108493,Chiba Ken,Noda Shi,12208,1397958360625,9
"POLYGON ((139.783333333323 36.0583333333329,139.791666666656 36.0583333333329,139.791666666656 36.0666666666663,139.783333333323 36.0666666666663,139.783333333323 36.0583333333329))",139.787499999989,36.0624999999996,213,108494,Saitama Ken,Satte Shi,11240,1397875360625,10
"POLYGON ((139.808333333323 36.0583333333329,139.816666666656 36.0583333333329,139.816666666656 36.0666666666663,139.808333333323 36.0666666666663,139.808333333323 36.0583333333329))",139.81249999999,36.0624999999996,188,108499,Chiba Ken,Noda Shi,12208,1398125360625,8
"POLYGON ((139.799999999989 36.0583333333329,139.808333333323 36.0583333333329,139.808333333323 36.0666666666663,139.799999999989 36.0666666666663,139.799999999989 36.0583333333329))",139.804166666656,36.0624999999996,230,108500,Chiba Ken,Noda Shi,12208,1398042360625,11
"POLYGON ((139.799999999989 36.0666666666663,139.808333333323 36.0666666666663,139.808333333323 36.0749999999996,139.799999999989 36.0749999999996,139.799999999989 36.0666666666663))",139.804166666656,36.0708333333329,183,109056,Chiba Ken,Noda Shi,12208,1398042360708,11
"POLYGON ((139.791666666656 36.0666666666663,139.799999999989 36.0666666666663,139.799999999989 36.0749999999996,139.791666666656 36.0749999999996,139.791666666656 36.0666666666663))",139.795833333323,36.0708333333329,183,109057,Chiba Ken,Noda Shi,12208,1397958360708,14
"POLYGON ((139.783333333323 36.0666666666663,139.791666666656 36.0666666666663,139.791666666656 36.0749999999996,139.783333333323 36.0749999999996,139.783333333323 36.0666666666663))",139.787499999989,36.0708333333329,216,109278,Chiba Ken,Noda Shi,12208,1397875360708,11
"POLYGON ((140.299999999989 35.8499999999996,140.308333333322 35.8499999999996,140.308333333322 35.8583333333329,140.299999999989 35.8583333333329,140.299999999989 35.8499999999996))",140.304166666656,35.8541666666663,219,109538,Chiba Ken,Narita Shi,12211,1403042358542,0
"POLYGON ((140.291666666656 35.8499999999996,140.299999999989 35.8499999999996,140.299999999989 35.8583333333329,140.291666666656 35.8583333333329,140.291666666656 35.8499999999996))",140.295833333322,35.8541666666663,234,109539,Chiba Ken,Narita Shi,12211,1402958358542,29
"POLYGON ((140.283333333322 35.8499999999996,140.291666666656 35.8499999999996,140.291666666656 35.8583333333329,140.283333333322 35.8583333333329,140.283333333322 35.8499999999996))",140.287499999989,35.8541666666663,144,109540,Chiba Ken,Narita Shi,12211,1402875358542,5
"POLYGON ((140.274999999989 35.8499999999996,140.283333333322 35.8499999999996,140.283333333322 35.8583333333329,140.274999999989 35.8583333333329,140.274999999989 35.8499999999996))",140.279166666655,35.8541666666663,181,109541,Chiba Ken,Sakae Machi,12329,1402792358542,3
"POLYGON ((140.333333333322 35.8499999999996,140.341666666656 35.8499999999996,140.341666666656 35.8583333333329,140.333333333322 35.8583333333329,140.333333333322 35.8499999999996))",140.337499999989,35.8541666666663,227,109542,Chiba Ken,Narita Shi,12211,1403375358542,2
"POLYGON ((140.324999999989 35.8499999999996,140.333333333322 35.8499999999996,140.333333333322 35.8583333333329,140.324999999989 35.8583333333329,140.324999999989 35.8499999999996))",140.329166666656,35.8541666666663,144,109543,Chiba Ken,Narita Shi,12211,1403292358542,1
"POLYGON ((140.316666666656 35.8499999999996,140.324999999989 35.8499999999996,140.324999999989 35.8583333333329,140.316666666656 35.8583333333329,140.316666666656 35.8499999999996))",140.320833333322,35.8541666666663,144,109544,Chiba Ken,Narita Shi,12211,1403208358542,0
